reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
4084d5c4-18d3-4e34-ac99-7c1a610f0cb4,raden acmad,https://play-lh.googleusercontent.com/a/ACg8ocLJmB0FNt0pZN1G_49ZVOLfV6viWBaIiD899ZL-MHs0Ce0Qfg=mo,ok,5,0,2.25.37.76,2026-01-14 07:47:43,,,2.25.37.76
c91cd573-abc8-4c30-898a-099d27d81fac,Mandala Putrajaya,https://play-lh.googleusercontent.com/a-/ALV-UjVf_rKWjxl_6Pk4hKxJ-lzDPqKj8exCnQf-R-YMYRp4sLSuKA,bisa beli komunikasi degan teman,5,0,,2026-01-14 07:47:42,,,
e02970b3-6173-4635-889c-508a9e2a0f71,Arii Parman,https://play-lh.googleusercontent.com/a/ACg8ocL_C46zWBpTOJzxNANSkoXIQh2VRGRO2NEh6Is8AuqUZgaplw=mo,sangat bermanfaat buat komunukasi,5,0,,2026-01-14 07:47:30,,,
82cc4391-d55b-4d6e-b8e3-51a8790a1199,Muhammad Ijun,https://play-lh.googleusercontent.com/a-/ALV-UjUdyneyV_awEIghHKAGj5jfgwDgMVaSLLt09JcADqDfg6NjbXrj,mantap,5,0,2.25.24.78,2026-01-14 07:45:30,,,2.25.24.78
eac92dfb-79ce-4bea-805a-e989d8d784fd,Amanda Syafa Maharani,https://play-lh.googleusercontent.com/a/ACg8ocK5DYf8bTn572tsLnjWWhoiOiWXhgTObot4kFCrTVxKIdOB2Q=mo,"wah sek ngp ga bisa ngirim cht ini sy,pdhl jaringan aman aman aja",1,0,2.25.37.76,2026-01-14 07:45:04,,,2.25.37.76
fa4b501d-d6b7-44b0-a4fc-dc06c5b20652,Fahn Gvua,https://play-lh.googleusercontent.com/a/ACg8ocL1Qw0KhnNPnAhyhayOyUGjlyZRdxBZ7XyzNJ2m-w4KWfMFQg=mo,sangat opsional,5,0,2.25.37.76,2026-01-14 07:44:08,,,2.25.37.76
c80879d3-56db-42b1-9f8b-ec9789d4247a,ALEX TORA,https://play-lh.googleusercontent.com/a/ACg8ocINw6Kpa5pZI-y1k4u-I2GNt650aKht0wNvH9K58x-fk3wgCA=mo,mantap,5,0,2.25.37.76,2026-01-14 07:42:06,,,2.25.37.76
abd2ce19-5730-42eb-b9bd-d03f5314aca4,Vvarel Varel,https://play-lh.googleusercontent.com/a/ACg8ocJ0Nl7E65Yb_IQWyHj3dq_sRMLr01kBQfTJgcxXm3YeDXVZ6w=mo,bagus aplikasinya,5,0,,2026-01-14 07:41:42,,,
46f7ae15-01e3-4425-acff-e266435e7bcc,Lutfiana Tri,https://play-lh.googleusercontent.com/a-/ALV-UjVV6aG9isxLgZmq63SJDKm5cgXUk1Ct8psL_WpzY1x5jTKc8wB5,"kena pratinjau berkali"" karena spam padahal gak spam dan baru nge chat sama 1 atau 2 orang, perbaiki lagi dong masa gini sih menghambat pekerjaan orang!.",1,0,2.25.37.76,2026-01-14 07:40:23,,,2.25.37.76
4336356a-33f3-4284-bbe0-aa9a059139ed,Faiza Alya,https://play-lh.googleusercontent.com/a-/ALV-UjWfpDB9IqNQL01YDGL18nx1adlVWDilQe5JMNxFIzGKPIh7nQ2v,"bagus, cuma status nya kadang nge lag kadang bentuk nya normal kadang besarr",4,0,2.25.37.76,2026-01-14 07:40:10,,,2.25.37.76
eb02f139-a5df-4657-9edf-f0edd434429e,Arip Muhardi,https://play-lh.googleusercontent.com/a-/ALV-UjXFgLupS1b3mG0_cn3-Qd70nFZA7guS9nsOlorDRO4yq2hmx0U,semoga bermanfaat,5,0,2.25.26.74,2026-01-14 07:39:50,,,2.25.26.74
b7221524-ba43-4ce1-8343-cc7a7e3bec5d,yudistira chandra,https://play-lh.googleusercontent.com/a-/ALV-UjX-bK-pA9pmkHV69TK13xW1lr7O5ZzUljvF6QX379qjsnAEfJhX,secara sepihak WhatsApp memblokir akun saya dan kedua nomor saya sehingga tidak bisa memakai WhatsApp dan tidak mau bertanggung jawab dan mempertanggung jawabkan sedangkan saya tidak pernah melakukan hal yang melanggar aturan dan kebijakan WhatsApp ataupun spam tpi secara sepihak memblokir nomor dan akun saya,1,0,,2026-01-14 07:39:00,,,
ce259551-b5e6-479e-8d1d-a6143375d5d7,Pita PITa_LOKA Pitapitaloka341,https://play-lh.googleusercontent.com/a/ACg8ocJ7wvpP-joae3H-Euu0ibB_sIAH7AyMwT_B7NYGs1xSO0d46Q=mo,ok,4,0,2.25.37.76,2026-01-14 07:38:42,,,2.25.37.76
b3d68288-6ebd-4cd8-b3c8-a511d400f2e2,Candra Winta.118,https://play-lh.googleusercontent.com/a-/ALV-UjVi74TO_OQDfIkMo3xlv49skio1RBgmUCAwLr1xZ2Evoz4B24h6,ga lagi deh ngasih bintang 5 sistem wa sekarang aneh bgt dikit dikit kena spam ke blokir akun wa kita kasian orang orang yang kerja lewat wa kaya gojek kadang lagi nganter pesenan buat nyari alamat nelvon ke castumer tapi kena spam aneh,1,0,,2026-01-14 07:36:51,,,
